Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1 Month Ago,3 Months Ago,6 Months Ago
28,FTFT,Technology,Software—Application,NASDAQ,229.92,99,99,18,24
29,VRNA,Healthcare,Biotechnology,NASDAQ,229.49,99,99,99,99
30,AI,Technology,Information Technology Services,NYSE,224.25,99,98,15,11
31,INTT,Technology,Semiconductors,NYSE MKT,222.43,99,95,94,61
32,SERA,Healthcare,Diagnostics & Research,NASDAQ,221.1,99,99,13,15
33,GOTU,Consumer Defensive,Education & Training Services,NYSE,219.61,99,99,99,17
34,INOD,Technology,Information Technology Services,NASDAQ,217.28,99,97,17,14
35,LMB,Industrials,Engineering & Construction,NASDAQ,213.99,99,96,97,93
36,RCEL,Healthcare,Medical Devices,NASDAQ,213.43,99,98,56,17
37,PLRX,Healthcare,Biotechnology,NASDAQ,212.41,99,99,97,99
38,IMVT,Healthcare,Biotechnology,NASDAQ,211.49,99,99,99,98
39,JSPR,Healthcare,Biotechnology,NASDAQ,211.35,99,97,96,1
40,CBAY,Healthcare,Biotechnology,NASDAQ,211.22,99,99,99,77
41,RPHM,Healthcare,Biotechnology,NASDAQ,210.92,99,96,20,44
42,MNSO,Consumer Cyclical,Specialty Retail,NYSE,210.05,99,99,98,23
43,MDGL,Healthcare,Biotechnology,NASDAQ,209.96,99,99,99,74
44,PMTS,Financial Services,Credit Services,NASDAQ,209.46,99,97,99,86
45,SLQT,Financial Services,Insurance Brokers,NYSE,208.57,99,99,5,0
46,ELF,Consumer Defensive,Household & Personal Products,NYSE,207.83,99,98,98,95
47,TRMD,Energy,Oil & Gas Midstream,NASDAQ,206.09,99,99,99,99
48,INTA,Technology,Software—Application,NASDAQ,205.52,99,98,93,80
49,PTGX,Healthcare,Biotechnology,NASDAQ,204.02,99,96,44,14
50,VRCA,Healthcare,Biotechnology,NASDAQ,202.29,99,99,30,6
51,OPRA,Technology,Software—Infrastructure,NASDAQ,201.29,99,98,91,31
52,HROW,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,201.09,99,98,98,98
53,PYXS,Healthcare,Biotechnology,NASDAQ,200.53,99,71,8,5
54,ASUR,Technology,Software—Application,NASDAQ,200.19,99,98,98,37
55,PT,Financial Services,Credit Services,NASDAQ,199.1,99,49,10,0
56,IBIO,Healthcare,Biotechnology,NYSE MKT,196.78,98,5,0,3
57,RXDX,Healthcare,Biotechnology,NASDAQ,195.03,98,99,99,99
58,FSLR,Technology,Solar,NASDAQ,194.52,98,98,97,99
59,NGL,Energy,Oil & Gas Refining & Marketing,NYSE,192.9,98,99,32,26
60,RIOT,Technology,Software—Application,NASDAQ,190.94,98,52,5,29
61,ACLS,Technology,Semiconductor Equipment & Materials,NASDAQ,190.08,98,98,92,90
62,GRIL,Consumer Cyclical,Restaurants,NASDAQ,189.63,98,99,99,32
63,SMCI,Technology,Computer Hardware,NASDAQ,189.15,98,96,98,98
64,VATE,Communication Services,Telecom Services,NYSE,188.63,98,98,98,1
65,ASRT,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,188.37,98,99,97,89
66,CPS,Consumer Cyclical,Auto Parts,NYSE,188.13,98,99,96,53
67,CYCCP,Healthcare,Biotechnology,NASDAQ,188.04,98,98,98,64
68,ATCX,Industrials,Engineering & Construction,NASDAQ,187.78,98,97,23,75
69,TGTX,Healthcare,Biotechnology,NASDAQ,187.34,98,99,96,18
70,TA,Consumer Cyclical,Specialty Retail,NASDAQ,187.29,98,98,51,96
71,AMYT,Healthcare,Drug Manufacturersâ€”Specialty & Generic,NASDAQ,186.85,98,98,43,41
72,TNK,Energy,Oil & Gas Midstream,NYSE,186.35,98,98,97,99
73,ACHV,Healthcare,Biotechnology,NASDAQ,186.19,98,89,8,9
74,RRGB,Consumer Cyclical,Restaurants,NASDAQ,185.71,98,87,16,20
75,BSGM,Healthcare,Medical Devices,NASDAQ,184.97,98,97,7,33
76,SONM,Technology,Communication Equipment,NASDAQ,184.85,98,15,22,20
77,RVPH,Healthcare,Biotechnology,NASDAQ,184.44,98,98,99,96
78,SY,Healthcare,Health Information Services,NASDAQ,184.3,98,99,95,8
79,YPF,Energy,Oil & Gas Integrated,NYSE,183.25,98,98,98,99
80,CDTX,Healthcare,Biotechnology,NASDAQ,183.19,98,99,81,25
81,BWEN,Industrials,Specialty Industrial Machinery,NASDAQ,182.56,98,99,36,96
82,MSC,Consumer Cyclical,Resorts & Casinos,NYSE,182.08,98,99,99,27
83,HUGE,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,180.45,98,96,39,62
84,BLBD,Consumer Cyclical,Auto Manufacturers,NASDAQ,180.18,98,97,71,29
85,ALDX,Healthcare,Biotechnology,NASDAQ,179.89,98,96,96,85
86,CTSO,Healthcare,Medical Devices,NASDAQ,179.88,98,97,28,11
87,DAKT,Technology,Computer Hardware,NASDAQ,179.49,98,84,35,26
88,ALGM,Technology,Semiconductors,NASDAQ,178.53,98,97,89,69
89,HY,Industrials,Farm & Heavy Construction Machinery,NYSE,178.43,98,95,47,15
90,TYRA,Healthcare,Biotechnology,NASDAQ,178.32,98,96,23,14
91,MACK,Healthcare,Biotechnology,NASDAQ,178.23,98,97,99,20
92,VIST,Energy,Oil & Gas E&P,NYSE,177.84,98,98,98,99
93,TMDX,Healthcare,Medical Devices,NASDAQ,177.79,98,99,98,98
94,GATO,Basic Materials,Other Precious Metals & Mining,NYSE,176.46,98,91,90,18
95,ASC,Industrials,Marine Shipping,NYSE,176.13,98,99,99,99
96,BORR,Energy,Oil & Gas Drilling,NYSE,175.65,98,98,95,97
97,BBIO,Healthcare,Biotechnology,NASDAQ,175.46,98,90,17,42
98,NEO,Healthcare,Diagnostics & Research,NASDAQ,175.06,98,96,32,16
99,AVDL,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,174.86,98,97,92,76
100,ERYP,Healthcare,Biotechnology,NASDAQ,172.29,98,68,3,7
101,EYEN,Healthcare,Biotechnology,NASDAQ,172.22,98,94,22,86
102,CLRO,Technology,Communication Equipment,NASDAQ,171.97,98,99,99,14
103,PERI,Communication Services,Internet Content & Information,NASDAQ,171.26,98,95,93,86
104,EDU,Consumer Defensive,Education & Training Services,NYSE,171.17,98,99,98,97
105,TAYD,Industrials,Specialty Industrial Machinery,NASDAQ,170.77,98,95,95,89
106,CVU,Industrials,Aerospace & Defense,NYSE MKT,170.65,98,96,98,40
107,PRQR,Healthcare,Biotechnology,NASDAQ,170.62,98,99,99,18
108,KBAL,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NASDAQ,170.24,98,29,36,29
109,NVDA,Technology,Semiconductors,NASDAQ,169.81,98,92,32,18
110,PLPC,Industrials,Electrical Equipment & Parts,NASDAQ,169.72,97,96,91,92
111,SGTX,Healthcare,Biotechnology,NASDAQ,169.43,97,98,5,5
112,PLX,Healthcare,Biotechnology,NYSE MKT,169.22,97,98,94,63
113,AKRO,Healthcare,Biotechnology,NASDAQ,169.09,97,99,99,99
114,RMBS,Technology,Semiconductors,NASDAQ,168.89,97,95,95,92
115,NPCE,Healthcare,Medical Devices,NASDAQ,168.61,97,95,2,4
116,CTIB,Consumer Cyclical,Specialty Retail,NASDAQ,168.18,97,99,96,19
117,CDZI,Utilities,Utilities—Regulated Water,NASDAQ,167.96,97,98,78,15
118,GOCO,Financial Services,Insurance Brokers,NASDAQ,166.95,97,97,71,4
119,WDH,Financial Services,Insurance—Diversified,NYSE,166.7,97,99,99,36
120,MOD,Consumer Cyclical,Auto Parts,NYSE,166.29,97,98,98,95
121,TOUR,Consumer Cyclical,Travel Services,NASDAQ,166.28,97,99,99,20
122,TGLS,Industrials,Building Products & Equipment,NYSE,166.26,97,97,96,84
123,LYTS,Technology,Electronic Components,NASDAQ,166.12,97,97,98,95
124,ZEUS,Basic Materials,Steel,NASDAQ,165.84,97,98,93,54
125,HIMS,Consumer Defensive,Household & Personal Products,NYSE,165.69,97,98,87,70
126,PI,Technology,Communication Equipment,NASDAQ,165.39,97,97,97,97
127,FSLY,Technology,Software—Application,NYSE,165.06,97,92,14,8
128,NLSP,Healthcare,Biotechnology,NASDAQ,164.63,97,97,98,26
129,WFRD,Energy,Oil & Gas Equipment & Services,NASDAQ,164.05,97,98,98,98
130,OSCR,Healthcare,Healthcare Plans,NYSE,163.99,97,84,6,21
131,IQ,Communication Services,Internet Content & Information,NASDAQ,163.76,97,98,98,11
132,AXON,Industrials,Aerospace & Defense,NASDAQ,163.65,97,96,95,85
133,SOPH,Healthcare,Health Information Services,NASDAQ,163.53,97,24,10,6
134,BWMN,Industrials,Consulting Services,NASDAQ,163.49,97,97,95,86
135,PACB,Healthcare,Diagnostics & Research,NASDAQ,163.47,97,86,75,30
136,MTW,Industrials,Farm & Heavy Construction Machinery,NYSE,163.4,97,97,35,17
137,OSH,Healthcare,Medical Care Facilities,NYSE,163.28,97,97,30,51
138,RIG,Energy,Oil & Gas Drilling,NYSE,163.07,97,98,94,66
139,SHC,Healthcare,Diagnostics & Research,NASDAQ,163.04,97,92,20,2
140,ARAV,Healthcare,Biotechnology,NASDAQ,162.88,97,97,96,10
141,HEPA,Healthcare,Biotechnology,NASDAQ,162.65,97,96,10,13
142,POWL,Industrials,Electrical Equipment & Parts,NASDAQ,162.47,97,98,97,64
143,RVNC,Healthcare,Biotechnology,NASDAQ,161.49,97,98,46,99
144,ENIC,Utilities,Utilities—Regulated Electric,NYSE,161.26,97,93,96,70
145,TK,Energy,Oil & Gas Midstream,NYSE,161.25,97,97,95,90
146,PAYS,Industrials,Specialty Business Services,NASDAQ,161.09,97,96,92,91
147,LSCC,Technology,Semiconductors,NASDAQ,161.08,97,94,87,68
148,TDW,Energy,Oil & Gas Equipment & Services,NYSE,160.93,97,98,98,98
149,ONON,Consumer Cyclical,Apparel Retail,NYSE,160.63,97,76,29,31
150,FRO,Energy,Oil & Gas Midstream,NYSE,160.21,97,97,90,96
151,YEXT,Technology,Software—Infrastructure,NYSE,159.85,97,96,77,28
152,IPAR,Consumer Defensive,Household & Personal Products,NASDAQ,159.62,97,97,89,68
153,CROX,Consumer Cyclical,Footwear & Accessories,NASDAQ,159.3,97,96,96,83
154,MUX,Basic Materials,Other Precious Metals & Mining,NYSE,159.28,97,94,96,20
155,BELFB,Technology,Electronic Components,NASDAQ,157.97,97,96,99,99
156,NRDY,Technology,Software—Application,NYSE,157.92,97,90,25,20
157,AUPH,Healthcare,Biotechnology,NASDAQ,157.67,97,90,15,11
158,FTAI,Industrials,Rental & Leasing Services,NASDAQ,157.22,97,95,74,49
159,MAXN,Technology,Solar,NASDAQ,156.86,97,84,73,98
160,PARR,Energy,Oil & Gas Refining & Marketing,NYSE,156.83,97,97,94,93
161,HGBL,Financial Services,Capital Markets,NASDAQ,156.0,97,94,98,70
162,CLXT,Consumer Defensive,Packaged Foods,NASDAQ,155.92,97,98,9,3
163,FLUX,Industrials,Electrical Equipment & Parts,NASDAQ,155.81,97,99,96,84
164,DAO,Communication Services,Internet Content & Information,NYSE,155.6,97,97,83,19
165,UVE,Financial Services,Insurance—Property & Casualty,NYSE,155.56,96,97,39,19
166,PDFS,Technology,Software—Application,NASDAQ,155.55,96,93,76,85
167,NAT,Industrials,Marine Shipping,NYSE,155.48,96,97,95,96
168,INSW,Industrials,Marine Shipping,NYSE,155.23,96,98,98,99
169,RLX,Consumer Defensive,Tobacco,NYSE,154.94,96,85,98,4
170,CMT,Basic Materials,Specialty Chemicals,NYSE MKT,154.75,96,97,95,74
171,HEPS,Consumer Cyclical,Internet Retail,NASDAQ,154.37,96,25,15,15
172,OEC,Basic Materials,Specialty Chemicals,NYSE,154.19,96,95,88,45
173,HLX,Energy,Oil & Gas Equipment & Services,NYSE,154.05,96,97,98,96
174,GE,Industrials,Specialty Industrial Machinery,NYSE,154.02,96,92,90,40
175,OMAB,Industrials,Airports & Air Services,NASDAQ,153.73,96,92,93,90
176,APEN,Healthcare,Medical Devices,NASDAQ,153.32,96,95,98,65
177,KTCC,Technology,Computer Hardware,NASDAQ,153.3,96,93,46,38
178,SJ,Communication Services,Broadcasting,NASDAQ,153.07,96,96,38,1
179,MEC,Industrials,Metal Fabrication,NYSE,152.85,96,96,97,24
180,TCMD,Healthcare,Medical Devices,NASDAQ,152.83,96,95,90,20
181,CSPI,Technology,Information Technology Services,NASDAQ,151.78,96,92,90,53
182,STG,Consumer Defensive,Education & Training Services,NYSE,151.43,96,99,99,37
183,SPRB,Healthcare,Biotechnology,NASDAQ,151.32,96,96,18,10
184,ERJ,Industrials,Aerospace & Defense,NYSE,151.18,96,87,64,46
185,WING,Consumer Cyclical,Restaurants,NASDAQ,151.13,96,94,82,91
186,GRBK,Consumer Cyclical,Residential Construction,NYSE,150.74,96,92,83,84
187,ATEC,Healthcare,Medical Devices,NASDAQ,150.59,96,97,92,73
188,ASXC,Healthcare,Medical Devices,NYSE MKT,150.5,96,96,21,21
189,NVEC,Technology,Semiconductors,NASDAQ,150.49,96,94,95,63
190,IMNM,Healthcare,Biotechnology,NASDAQ,150.35,96,40,20,34
191,EHTH,Financial Services,Insurance Brokers,NASDAQ,150.31,96,94,19,1
192,BTBT,Technology,Software—Application,NASDAQ,150.1,96,31,4,6
193,CJJD,Healthcare,Pharmaceutical Retailers,NASDAQ,150.03,96,99,99,9
194,GRTX,Healthcare,Biotechnology,NASDAQ,149.93,96,79,26,40
195,XPOF,Consumer Cyclical,Leisure,NYSE,149.78,96,94,91,95
196,SVC,Real Estate,REIT—Hotel & Motel,NASDAQ,149.77,96,96,84,28
197,GNE,Utilities,Utilities—Regulated Electric,NYSE,149.21,96,94,96,96
198,JFIN,Communication Services,Internet Content & Information,NASDAQ,149.19,96,93,88,58
199,MAXR,Technology,Communication Equipment,NYSE,149.07,96,98,99,28
200,MLCO,Consumer Cyclical,Resorts & Casinos,NASDAQ,148.93,96,98,98,93
201,GALT,Healthcare,Biotechnology,NASDAQ,148.89,96,96,18,37
202,TNP,Energy,Oil & Gas Midstream,NYSE,148.79,96,98,97,99
203,REPX,Energy,Oil & Gas E&P,NYSE MKT,148.36,96,80,90,75
204,VMD,Healthcare,Medical Devices,NASDAQ,148.36,96,93,95,78
205,BHVN,Healthcare,Biotechnology,NYSE,148.26,96,95,98,99
206,AAON,Industrials,Building Products & Equipment,NASDAQ,147.96,96,95,91,58
207,MSTR,Technology,Software—Application,NASDAQ,147.92,96,63,10,26
208,EDTK,Consumer Defensive,Education & Training Services,NASDAQ,147.77,96,93,96,44
209,GENC,Industrials,Farm & Heavy Construction Machinery,NYSE MKT,147.63,96,93,71,62
210,LVO,Communication Services,Entertainment,NASDAQ,147.5,96,94,20,19
211,OSG,Energy,Oil & Gas Midstream,NYSE,147.3,96,95,92,97
212,ITI,Technology,Communication Equipment,NASDAQ,147.27,96,95,71,40
213,WYNN,Consumer Cyclical,Resorts & Casinos,NASDAQ,147.08,96,96,93,88
214,MELI,Consumer Cyclical,Internet Retail,NASDAQ,147.01,96,91,34,72
215,DHT,Energy,Oil & Gas Midstream,NYSE,147.0,96,97,95,95
216,OI,Consumer Cyclical,Packaging & Containers,NYSE,146.99,96,96,94,89
217,OSPN,Technology,Software—Infrastructure,NASDAQ,146.96,96,94,70,19
218,FOUR,Technology,Software—Infrastructure,NYSE,146.84,96,95,87,85
219,ACVA,Technology,Softwareâ€”Application,NASDAQ,146.8,95,90,32,43
220,MARA,Financial Services,Capital Markets,NASDAQ,146.77,95,12,2,43
221,QIPT,Healthcare,Medical Devices,NASDAQ,146.68,95,93,88,31
222,EOSE,Industrials,Electrical Equipment & Parts,NASDAQ,146.52,95,89,14,8
223,DSEY,Consumer Cyclical,Personal Services,NASDAQ,146.36,95,44,20,9
224,STNG,Energy,Oil & Gas Midstream,NYSE,146.26,95,97,99,99
225,STM,Technology,Semiconductors,NYSE,145.98,95,89,59,57
226,HOV,Consumer Cyclical,Residential Construction,NYSE,145.66,95,91,33,24
227,WIRE,Industrials,Electrical Equipment & Parts,NASDAQ,145.65,95,95,84,91
228,PPTA,Basic Materials,Other Precious Metals & Mining,NASDAQ,145.56,95,92,53,12
229,CARS,Consumer Cyclical,Auto & Truck Dealerships,NYSE,145.52,95,93,84,83
230,GEOS,Energy,Oil & Gas Equipment & Services,NASDAQ,145.25,95,87,27,42
231,NSSC,Industrials,Security & Protection Services,NASDAQ,144.99,95,92,79,95
232,NEON,Technology,Electronic Components,NASDAQ,144.84,95,96,83,16
233,HNRG,Energy,Thermal Coal,NASDAQ,144.56,95,89,99,98
234,ZETA,Technology,Software—Application,NYSE,144.43,95,90,87,88
235,FTI,Energy,Oil & Gas Equipment & Services,NYSE,144.33,95,97,97,97
236,GHM,Industrials,Specialty Industrial Machinery,NYSE,144.22,95,97,81,65
237,ISEE,Healthcare,Biotechnology,NASDAQ,144.19,95,96,91,98
238,SKYT,Technology,Semiconductors,NASDAQ,144.05,95,91,27,33
239,RYTM,Healthcare,Biotechnology,NASDAQ,143.97,95,99,99,99
240,KLXE,Energy,Oil & Gas Equipment & Services,NASDAQ,143.63,95,96,99,99
241,COTY,Consumer Defensive,Household & Personal Products,NYSE,143.38,95,95,84,34
242,TLSA,Healthcare,Biotechnology,NASDAQ,143.09,95,14,21,39
243,VERX,Technology,Software—Application,NASDAQ,142.98,95,71,60,87
244,PBPB,Consumer Cyclical,Restaurants,NASDAQ,142.88,95,94,71,41
245,NSIT,Technology,Information Technology Services,NASDAQ,142.83,95,92,81,62
246,CIR,Industrials,Specialty Industrial Machinery,NYSE,142.67,95,91,87,62
247,ASO,Consumer Cyclical,Specialty Retail,NASDAQ,142.61,95,95,93,91
248,IMMR,Technology,Software—Application,NASDAQ,142.59,95,88,96,70
249,PXS,Industrials,Marine Shipping,NASDAQ,142.53,95,98,98,99
250,AMK,Financial Services,Asset Management,NYSE,141.93,95,94,84,58
251,ARRY,Technology,Solar,NASDAQ,141.09,95,92,96,97
252,MOMO,Communication Services,Internet Content & Information,NASDAQ,140.98,95,96,98,47
253,SCYX,Healthcare,Drug Manufacturers—Specialty & Generic,NASDAQ,140.52,95,13,10,53
254,ERO,Basic Materials,Copper,NYSE,140.37,95,95,88,83
255,KRMD,Healthcare,Medical Instruments & Supplies,NASDAQ,140.27,95,95,96,46
256,PEN,Healthcare,Medical Devices,NYSE,140.13,95,93,87,83
257,EXAS,Healthcare,Diagnostics & Research,NASDAQ,140.09,95,93,65,13
258,FIX,Industrials,Engineering & Construction,NYSE,139.85,95,94,90,92
259,THRX,Healthcare,Biotechnology,NASDAQ,139.72,95,92,45,13
260,CPRX,Healthcare,Biotechnology,NASDAQ,139.69,95,94,99,99
261,SCX,Industrials,Tools & Accessories,NYSE,139.38,95,94,40,88
262,KUKE,Communication Services,Entertainment,NYSE,139.26,95,47,6,1
263,CAAP,Industrials,Airports & Air Services,NYSE,139.24,95,92,95,95
264,UWMC,Financial Services,Mortgage Finance,NYSE,139.2,95,87,51,32
265,CRUS,Technology,Semiconductors,NASDAQ,139.01,95,91,54,55
266,MFH,Financial Services,Capital Markets,NASDAQ,138.96,95,19,71,24
267,STVN,Healthcare,Medical Instruments & Supplies,NYSE,138.9,95,96,67,76
268,SCPH,Healthcare,Biotechnology,NASDAQ,138.8,95,91,89,61
269,MHO,Consumer Cyclical,Residential Construction,NYSE,138.79,95,90,81,47
270,OCUL,Healthcare,Biotechnology,NASDAQ,138.76,95,96,16,41
271,MGNX,Healthcare,Biotechnology,NASDAQ,138.76,95,81,93,12
272,THR,Industrials,Specialty Industrial Machinery,NYSE,138.76,95,95,93,81
273,WINA,Consumer Cyclical,Specialty Retail,NASDAQ,138.65,95,92,81,84
274,OMER,Healthcare,Biotechnology,NASDAQ,138.63,94,92,14,32
275,DCTH,Healthcare,Medical Devices,NASDAQ,138.57,94,89,27,13
276,BWMX,Consumer Cyclical,Specialty Retail,NASDAQ,138.55,94,87,17,10
277,ATI,Industrials,Metal Fabrication,NYSE,138.55,94,95,94,96
278,GAME,Communication Services,Electronic Gaming & Multimedia,NASDAQ,138.55,94,99,42,6
279,SPPI,Healthcare,Biotechnology,NASDAQ,138.37,94,96,13,4
280,ATKR,Industrials,Electrical Equipment & Parts,NYSE,138.2,94,93,92,70
281,RDFN,Real Estate,Real Estate Services,NASDAQ,138.09,94,47,8,3
282,RAIN,Healthcare,Biotechnology,NASDAQ,137.82,94,98,97,24
283,TME,Communication Services,Internet Content & Information,NYSE,137.74,94,95,99,37
284,AGYS,Technology,Softwareâ€”Application,NASDAQ,137.74,94,97,97,93
285,DKNG,Consumer Cyclical,Gambling,NASDAQ,137.69,94,83,18,70
286,UFPT,Consumer Cyclical,Packaging & Containers,NASDAQ,137.66,94,92,97,92
287,NATI,Technology,Software—Application,NASDAQ,137.64,94,91,56,89
288,ARL,Real Estate,Real Estateâ€”Development,NYSE,137.63,94,95,97,94
289,ALTR,Technology,Softwareâ€”Infrastructure,NASDAQ,137.5,94,86,32,44
290,TH,Energy,Oil & Gas Equipment & Services,NASDAQ,137.46,94,98,99,99
291,ROIV,Healthcare,Biotechnology,NASDAQ,137.42,94,97,97,48
292,FDMT,Healthcare,Biotechnology,NASDAQ,137.23,94,96,99,15
293,AACG,Consumer Defensive,Education & Training Services,NASDAQ,137.23,94,91,25,92
294,WNC,Industrials,Farm & Heavy Construction Machinery,NYSE,137.17,94,94,97,88
295,UONE,Communication Services,Broadcasting,NASDAQ,137.14,94,80,30,58
296,JBL,Technology,Electronic Components,NYSE,137.09,94,92,79,85
297,FICO,Technology,Software—Application,NYSE,137.01,94,93,96,71
298,ACCD,Healthcare,Health Information Services,NASDAQ,136.97,94,94,9,35
299,XM,Technology,Software—Application,NASDAQ,136.83,94,89,18,11
300,MKTX,Financial Services,Capital Markets,NASDAQ,136.81,94,90,70,35
301,TPX,Consumer Cyclical,"Furnishings, Fixtures & Appliances",NYSE,136.63,94,95,91,61
302,PVH,Consumer Cyclical,Apparel Manufacturing,NYSE,136.59,94,82,89,20
303,ANET,Technology,Computer Hardware,NYSE,136.58,94,79,44,88
304,LPG,Energy,Oil & Gas Midstream,NYSE,136.54,94,96,97,95
305,EXTR,Technology,Communication Equipment,NASDAQ,136.49,94,90,97,95
306,SPOK,Communication Services,Telecom Services,NASDAQ,136.44,94,93,89,86
307,CVCO,Consumer Cyclical,Residential Construction,NASDAQ,136.37,94,86,56,61
308,EH,Industrials,Aerospace & Defense,NASDAQ,136.25,94,98,97,3
309,CRBP,Healthcare,Biotechnology,NASDAQ,136.04,94,3,7,4
310,OSUR,Healthcare,Medical Instruments & Supplies,NASDAQ,135.92,94,90,81,34
311,SKY,Consumer Cyclical,Residential Construction,NYSE,135.85,94,87,40,72
312,GENI,Communication Services,Internet Content & Information,NYSE,135.74,94,78,30,89
313,STRL,Industrials,Engineering & Construction,NASDAQ,135.72,94,94,96,70
314,VIPS,Consumer Cyclical,Internet Retail,NYSE,135.64,94,94,98,59
315,DRD,Basic Materials,Gold,NYSE,135.64,94,76,93,36
316,LNTH,Healthcare,Diagnostics & Research,NASDAQ,135.61,94,81,51,99
317,MTH,Consumer Cyclical,Residential Construction,NYSE,135.47,94,89,88,47
318,AEYE,Technology,Softwareâ€”Application,NASDAQ,135.46,94,94,14,67
319,AGI,Basic Materials,Gold,NYSE,135.43,94,88,96,86
320,MLR,Consumer Cyclical,Auto Parts,NYSE,135.38,94,72,78,46
321,PKX,Basic Materials,Steel,NYSE,135.37,94,82,88,30
322,IDCC,Communication Services,Telecom Services,NASDAQ,135.32,94,92,68,31
323,ESP,Industrials,Electrical Equipment & Parts,NYSE MKT,135.32,94,94,77,70
324,SPOT,Communication Services,Internet Content & Information,NYSE,135.26,94,88,19,19
325,LITB,Consumer Cyclical,Internet Retail,NYSE,135.01,94,71,90,52
326,ASR,Industrials,Airports & Air Services,NYSE,134.99,94,92,90,89
327,DECK,Consumer Cyclical,Footwear & Accessories,NYSE,134.92,93,92,92,91
328,GLOP,Energy,Oil & Gas Midstream,NYSE,134.92,93,96,88,93
329,BLDR,Industrials,Building Products & Equipment,NYSE,134.81,93,92,63,79
330,SGEN,Healthcare,Biotechnology,NASDAQ,134.74,93,93,40,41
331,BGCP,Financial Services,Capital Markets,NASDAQ,134.62,93,90,59,68
332,YRD,Financial Services,Credit Services,NYSE,134.52,93,98,87,6
333,AGFS,Consumer Defensive,Farm Products,NASDAQ,134.44,93,93,98,36
334,SUMO,Technology,Software—Infrastructure,NASDAQ,134.43,93,93,28,31
335,CHUY,Consumer Cyclical,Restaurants,NASDAQ,134.33,93,92,88,73
336,ODC,Basic Materials,Specialty Chemicals,NYSE,134.27,93,92,93,28
337,BRBR,Consumer Defensive,Packaged Foods,NYSE,134.23,93,88,76,44
338,VOXX,Technology,Consumer Electronics,NASDAQ,134.22,93,88,51,53
339,OCUP,Healthcare,Biotechnology,NASDAQ,134.2,93,92,96,55
340,GANX,Healthcare,Biotechnology,NASDAQ,134.09,93,86,33,28
341,MANU,Consumer Cyclical,Leisure,NYSE,134.04,93,93,98,85
342,HQI,Industrials,Staffing & Employment Services,NASDAQ,134.03,93,94,80,35
343,TMHC,Consumer Cyclical,Residential Construction,NYSE,134.03,93,88,89,69
344,WOR,Industrials,Metal Fabrication,NYSE,133.86,93,83,73,52
345,OIS,Energy,Oil & Gas Equipment & Services,NYSE,133.84,93,97,96,43
346,PLYA,Consumer Cyclical,Resorts & Casinos,NASDAQ,133.7,93,91,43,31
347,DPRO,Industrials,Aerospace & Defense,NASDAQ,133.59,93,99,27,10
348,PETV,Healthcare,Medical Devices,NASDAQ,133.55,93,94,71,89
